,player_id,perf_date,season,latest,player_url,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_id,league_level,club_team_id,club_position,club_jersey_number,club_loaned_from,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,best_position,2nd_position,value_million_eur
143053,192985,2022-09-26 00:00:00,2022.0,True,/player/192985/kevin-de-bruyne/230002,"CM, CAM",91,91,107500000.0,350000.0,31,181,70,13.0,1.0,10.0,RCM,17.0,,Right,5,4,4,High/High,Unique,198900000.0,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder","Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",74.0,88.0,93.0,87.0,64.0,77.0,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89.0,68,65,53,15,13,5,10,13,,83+3,83+3,83+3,88,87,87,87,88,89+2,89+2,89+2,88+3,89+2,89+2,89+2,88+3,79+3,79+3,79+3,79+3,79+3,75+3,69+3,69+3,69+3,75+3,21+3,https://cdn.sofifa.net/players/192/985/23_120.png,CM, CAM,107.5
143055,20801,2022-09-26 00:00:00,2022.0,True,/player/20801/c-ronaldo-dos-santos-aveiro/230002,ST,90,90,41000000.0,220000.0,37,187,83,13.0,1.0,11.0,SUB,7.0,,Right,4,5,5,High/Low,Unique,77900000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Power Free-Kick, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,92.0,78.0,85.0,34.0,75.0,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95.0,24,32,24,7,11,15,14,11,,89+1,89+1,89+1,86,88,88,88,86,85+3,85+3,85+3,84+3,78+3,78+3,78+3,84+3,62+3,59+3,59+3,59+3,62+3,58+3,53+3,53+3,53+3,58+3,20+3,https://cdn.sofifa.net/players/020/801/23_120.png,ST,,41.0
143058,203376,2022-09-26 00:00:00,2022.0,True,/player/203376/virgil-van-dijk/230002,CB,90,90,98000000.0,230000.0,30,193,92,13.0,1.0,9.0,LCB,4.0,,Right,3,2,4,Medium/High,Unique,181300000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",81.0,60.0,71.0,72.0,91.0,86.0,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90.0,92,92,86,13,10,13,11,11,,71+3,71+3,71+3,68,70,70,70,68,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,85+3,85+3,85+3,80+3,82+3,89+1,89+1,89+1,82+3,20+3,https://cdn.sofifa.net/players/203/376/23_120.png,CB,,98.0
143059,209331,2022-09-26 00:00:00,2022.0,True,/player/209331/mohamed-salah/230002,RW,90,90,115500000.0,270000.0,30,175,71,13.0,1.0,9.0,RW,11.0,,Left,3,4,4,High/Medium,Unique,213700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92.0,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/23_120.png,RW,,115.5
143061,200104,2022-09-26 00:00:00,2022.0,True,/player/200104/heung-min-son/230002,"LW, LM",89,89,101000000.0,240000.0,29,183,78,13.0,1.0,18.0,LW,7.0,,Right,5,4,4,High/Medium,Unique,191900000.0,"#Dribbler, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Team Player",88.0,89.0,82.0,86.0,42.0,69.0,83,91,68,84,79,87,85,74,74,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73,89.0,47,34,33,11,13,13,6,10,,85+3,85+3,85+3,87,87,87,87,87,86+3,86+3,86+3,86+3,80+3,80+3,80+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3,19+3,https://cdn.sofifa.net/players/200/104/23_120.png,LW, LM,101.0
143062,200145,2022-09-26 00:00:00,2022.0,True,/player/200145/carlos-henrique-venancio-casimiro/230002,CDM,89,89,86000000.0,240000.0,30,185,84,13.0,1.0,11.0,SUB,18.0,,Right,3,2,3,Medium/High,Unique,163400000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",63.0,73.0,75.0,72.0,87.0,90.0,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,84.0,87,88,87,13,14,16,12,12,,75+3,75+3,75+3,71,75,75,75,71,75+3,75+3,75+3,73+3,81+3,81+3,81+3,73+3,80+3,86+3,86+3,86+3,80+3,81+3,86+3,86+3,86+3,81+3,21+3,https://cdn.sofifa.net/players/200/145/23_120.png,CDM,,86.0
143064,202126,2022-09-26 00:00:00,2022.0,True,/player/202126/harry-kane/230002,ST,89,89,105500000.0,240000.0,28,188,89,13.0,1.0,18.0,ST,10.0,,Right,5,3,4,High/High,Unique,200500000.0,"#Distance Shooter, #Clinical Finisher","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",68.0,91.0,83.0,82.0,47.0,82.0,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,92.0,50,36,38,8,10,11,14,11,,87+2,87+2,87+2,84,86,86,86,84,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,66+3,68+3,68+3,68+3,66+3,63+3,61+3,61+3,61+3,63+3,20+3,https://cdn.sofifa.net/players/202/126/23_120.png,ST,,105.5
143066,210257,2022-09-26 00:00:00,2022.0,True,/player/210257/ederson-santana-de-moraes/230002,GK,89,91,88000000.0,210000.0,28,188,86,13.0,1.0,10.0,GK,31.0,,Left,3,1,3,Medium/Medium,Unique,169400000.0,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70.0,29,15,8,87,82,93,88,88,64.0,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3,https://cdn.sofifa.net/players/210/257/23_120.png,GK,,88.0
143068,212831,2022-09-26 00:00:00,2022.0,True,/player/212831/alisson-ramses-becker/230002,GK,89,90,79000000.0,190000.0,29,191,91,13.0,1.0,9.0,GK,1.0,,Right,3,1,3,Medium/Medium,Unique,152100000.0,,"GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,68.0,15,19,16,86,85,85,90,89,54.0,39+3,39+3,39+3,38,41,41,41,38,45+3,45+3,45+3,42+3,46+3,46+3,46+3,42+3,33+3,39+3,39+3,39+3,33+3,32+3,32+3,32+3,32+3,32+3,87+3,https://cdn.sofifa.net/players/212/831/23_120.png,GK,,79.0
143069,215914,2022-09-26 00:00:00,2022.0,True,/player/215914/ngolo-kante/230002,"CDM, CM",89,89,72000000.0,220000.0,31,168,70,13.0,1.0,5.0,RCM,7.0,,Right,3,2,4,Medium/High,Unique,133200000.0,"#Tackling, #Tactician ","Injury Prone, Leadership",72.0,66.0,74.0,81.0,87.0,82.0,68,65,54,82,56,78,49,49,76,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54,84.0,90,93,86,15,12,10,7,10,,72+3,72+3,72+3,76,76,76,76,76,77+3,77+3,77+3,78+3,81+3,81+3,81+3,78+3,84+3,86+3,86+3,86+3,84+3,84+3,84+3,84+3,84+3,84+3,20+3,https://cdn.sofifa.net/players/215/914/23_120.png,CDM, CM,72.0
