,short_name,long_name,dob,nationality_name
192985,K. De Bruyne,Kevin De Bruyne,1991-06-28,Belgium
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,1985-02-05,Portugal
203376,V. van Dijk,Virgil van Dijk,1991-07-08,Netherlands
209331,M. Salah,Mohamed Salah Ghaly,1992-06-15,Egypt
200104,H. Son,손흥민 孙兴慜,1992-07-08,Korea Republic
200145,Casemiro,Carlos Henrique Venancio Casimiro,1992-02-23,Brazil
202126,H. Kane,Harry Kane,1993-07-28,England
210257,Ederson,Ederson Santana de Moraes,1993-08-17,Brazil
212831,Alisson,Alisson Ramsés Becker,1992-10-02,Brazil
215914,N. Kanté,N'Golo Kanté,1991-03-29,France
210514,João Cancelo,João Pedro Cavaco Cancelo,1994-05-27,Portugal
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,1994-08-10,Portugal
239085,E. Haaland,Erling Braut Haaland,2000-07-21,Norway
239818,Rúben Dias,Rúben dos Santos Gato Alves Dias,1997-05-14,Portugal
167948,H. Lloris,Hugo Lloris,1986-12-26,France
193080,De Gea,David De Gea Quintana,1990-11-07,Spain
201024,K. Koulibaly,Kalidou Koulibaly,1991-06-20,Senegal
209499,Fabinho,Fábio Henrique Tavares,1993-10-23,Brazil
216267,A. Robertson,Andrew Robertson,1994-03-11,Scotland
231281,T. Alexander-Arnold,Trent Alexander-Arnold,1998-10-07,England
231866,Rodri,Rodrigo Hernández Cascante,1996-06-22,Spain
164240,Thiago Silva,Thiago Emiliano da Silva,1984-09-22,Brazil
189509,Thiago,Thiago Alcântara do Nascimento,1991-04-11,Spain
202652,R. Sterling,Raheem Sterling,1994-12-08,England
204485,R. Mahrez,Riyad Mahrez,1991-02-21,Algeria
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,1994-09-08,Portugal
212218,A. Laporte,Aymeric Laporte,1994-05-27,Spain
234642,É. Mendy,Édouard Mendy,1992-03-01,Senegal
186942,İ. Gündoğan,İlkay Gündoğan,1990-10-24,Germany
188377,K. Walker,Kyle Walker,1990-05-28,England
188567,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,1989-06-18,Gabon
205498,Jorginho,Luiz Frello Filho Jorge,1991-12-20,Italy
208830,J. Vardy,Jamie Vardy,1987-01-11,England
224458,Diogo Jota,Diogo José Teixeira da Silva,1996-12-04,Portugal
237692,P. Foden,Philip Foden,2000-05-28,England
181458,I. Perišić,Ivan Perišić,1989-02-02,Croatia
186345,K. Trippier,Kieran Trippier,1990-09-19,England
197061,J. Matip,Joël Andre Job Matip,1991-08-08,Cameroon
201535,R. Varane,Raphaël Varane,1993-04-25,France
202811,E. Martínez,Damián Emiliano Martínez,1992-09-02,Argentina
206517,J. Grealish,Jack Grealish,1995-09-10,England
207410,M. Kovačić,Mateo Kovačić,1994-05-06,Croatia
209989,T. Partey,Thomas Partey,1993-06-13,Ghana
216393,Y. Tielemans,Youri Tielemans,1997-05-07,Belgium
222665,M. Ødegaard,Martin Ødegaard,1998-12-17,Norway
226790,W. Ndidi,Onyinye Wilfred Ndidi,1996-12-16,Nigeria
233049,J. Sancho,Jadon Sancho,2000-03-25,England
233064,M. Mount,Mason Mount,1999-01-10,England
234378,D. Rice,Declan Rice,1999-01-14,England
235790,K. Havertz,Kai Lukas Havertz,1999-06-11,Germany
238074,R. James,Reece James,1999-12-08,England
241084,L. Díaz,Luis Fernando Díaz Marulanda,1997-01-13,Colombia
183711,J. Henderson,Jordan Henderson,1990-06-17,England
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,1991-10-02,Brazil
203574,J. Stones,John Stones,1994-05-28,England
208670,H. Ziyech,Hakim Ziyech,1993-03-19,Morocco
210243,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,1993-10-06,Portugal
213648,P. Højbjerg,Pierre-Emile Kordt Højbjerg,1995-08-05,Denmark
219693,Diego Carlos,Diego Carlos Santos Silva,1993-03-15,Brazil
224293,Rúben Neves,Rúben Diogo da Silva Neves,1997-03-13,Portugal
230666,Gabriel Jesus,Gabriel Fernando de Jesus,1997-04-03,Brazil
232488,C. Romero,Cristian Gabriel Romero,1998-04-27,Argentina
164835,Ł. Fabiański,Łukasz Fabiański,1985-04-18,Poland
184432,Azpilicueta,César Azpilicueta Tanco,1989-08-28,Spain
189242,Coutinho,Philippe Coutinho Correia,1992-06-12,Brazil
190460,C. Eriksen,Christian Dannemann Eriksen,1992-02-14,Denmark
193474,I. Gueye,Idrissa Gana Gueye,1989-09-26,Senegal
198717,W. Zaha,Wilfried Zaha,1992-11-10,Côte d'Ivoire
200458,L. Digne,Lucas Digne,1993-07-20,France
204838,R. Jiménez,Raúl Alonso Jiménez Rodríguez,1991-05-05,Mexico
204935,J. Pickford,Jordan Pickford,1994-03-07,England
220697,J. Maddison,James Maddison,1996-11-23,England
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,1996-11-29,Portugal
227796,C. Pulisic,Christian Pulisic,1998-09-18,United States
229984,B. Chilwell,Ben Chilwell,1996-12-21,England
233927,Lucas Paquetá,Lucas Tolentino Coelho de Lima,1997-08-27,Brazil
233934,A. Ramsdale,Aaron Ramsdale,1998-05-14,England
246669,B. Saka,Bukayo Saka,2001-09-05,England
253072,D. Núñez,Darwin Gabriel Núñez Ribeiro,1999-06-24,Uruguay
255475,Antony,Antony Matheus dos Santos,2000-02-24,Brazil
162347,João Moutinho,João Filipe Iria Santos Moutinho,1986-09-08,Portugal
193105,A. Areola,Alphonse Areola,1993-02-27,France
194404,Neto,Norberto Murara Neto,1989-07-19,Brazil
203263,H. Maguire,Harry Maguire,1993-03-05,England
203841,N. Pope,Nick Pope,1992-04-19,England
205569,J. Ward-Prowse,James Ward-Prowse,1994-11-01,England
212442,José Sá,José Pedro Malheiro de Sá,1993-01-17,Portugal
216388,A. Saint-Maximin,Allan Saint-Maximin,1997-03-12,France
220971,N. Keïta,Naby Keïta,1995-02-10,Guinea
224081,K. Phillips,Kalvin Phillips,1995-12-02,England
225100,J. Gomez,Joe Gomez,1997-05-23,England
226491,K. Tierney,Kieran Tierney,1997-06-05,Scotland
