season,week,date,home_team_id,away_team_id,home_team_score,away_team_score,ftr
2022,1,8/13/2021,1925,1,2,0,H
2022,1,8/14/2021,11,8,5,1,H
2022,1,8/14/2021,1795,2,3,2,H
2022,1,8/14/2021,5,1799,3,0,H
2022,1,8/14/2021,7,17,3,1,H
2022,1,8/14/2021,1796,1808,1,2,A
2022,1,8/14/2021,95,110,1,0,H
2022,1,8/14/2021,1792,9,0,3,A
2022,1,8/15/2021,13,19,2,4,A
2022,1,8/15/2021,18,10,1,0,H
2022,10,10/30/2021,95,1,0,2,A
2022,10,10/30/2021,1795,17,0,1,A
2022,10,10/30/2021,13,5,0,3,A
2022,10,10/30/2021,9,1808,2,2,D
2022,10,10/30/2021,1796,1925,3,1,H
2022,10,10/30/2021,10,1799,0,2,A
2022,10,10/30/2021,18,11,0,3,A
2022,10,10/31/2021,1792,8,1,2,A
2022,10,10/31/2021,2,19,1,4,A
2022,10,11/1/2021,110,7,2,1,H
2022,11,11/5/2021,17,2,1,0,H
2022,11,11/6/2021,11,10,0,2,A
2022,11,11/6/2021,1799,110,2,0,H
2022,11,11/6/2021,5,1796,1,1,D
2022,11,11/6/2021,1925,1792,1,2,A
2022,11,11/6/2021,1808,13,1,1,D
2022,11,11/7/2021,8,95,1,1,D
2022,11,11/7/2021,7,18,0,0,D
2022,11,11/7/2021,1,1795,1,0,H
2022,11,11/7/2021,19,9,3,2,H
2022,12,11/20/2021,95,5,0,3,A
2022,12,11/20/2021,13,1925,3,3,D
2022,12,11/20/2021,2,1808,2,0,H
2022,12,11/20/2021,1795,11,4,1,H
2022,12,11/20/2021,1792,17,2,1,H
2022,12,11/20/2021,110,19,1,0,H
2022,12,11/20/2021,1796,1799,3,3,D
2022,12,11/20/2021,9,1,4,0,H
2022,12,11/21/2021,10,7,3,0,H
2022,12,11/21/2021,18,8,2,1,H
2022,13,11/27/2021,1,13,2,0,H
2022,13,11/27/2021,1799,2,1,2,A
2022,13,11/27/2021,1792,110,0,0,D
2022,13,11/27/2021,9,17,4,0,H
2022,13,11/27/2021,1808,8,0,0,D
2022,13,11/28/2021,1925,7,1,0,H
2022,13,11/28/2021,95,1795,4,2,H
2022,13,11/28/2021,10,19,2,1,H
2022,13,11/28/2021,5,11,1,1,D
2022,13,2/23/2022,1796,18,1,0,H
2022,14,11/30/2021,13,1792,1,1,D
2022,14,11/30/2021,8,1799,1,0,H
2022,14,12/1/2021,110,1796,0,0,D
2022,14,12/1/2021,17,95,2,2,D
2022,14,12/1/2021,1795,5,1,2,A
2022,14,12/1/2021,19,1808,1,1,D
2022,14,12/1/2021,7,9,1,4,A
2022,14,12/1/2021,2,10,1,2,A
2022,14,12/2/2021,18,1925,2,0,H
2022,14,12/2/2021,11,1,3,2,H
2022,15,12/4/2021,19,5,3,2,H
2022,15,12/4/2021,110,9,0,1,A
2022,15,12/4/2021,17,1808,1,1,D
2022,15,12/4/2021,13,1796,1,0,H
2022,15,12/4/2021,1795,10,1,3,A
2022,15,12/5/2021,18,1792,3,0,H
2022,15,12/5/2021,11,1799,1,0,H
2022,15,12/5/2021,8,1925,2,2,D
2022,15,12/5/2021,2,95,2,1,H
2022,15,12/6/2021,7,1,2,1,H
2022,16,12/10/2021,1925,1795,2,1,H
2022,16,12/11/2021,10,110,1,0,H
2022,16,12/11/2021,9,2,1,0,H
2022,16,12/11/2021,5,8,3,2,H
2022,16,12/11/2021,1,17,3,0,H
2022,16,12/11/2021,1792,11,0,1,A
2022,16,12/12/2021,1796,19,0,0,D
2022,16,12/12/2021,95,13,4,0,H
2022,16,12/12/2021,1799,7,3,1,H
2022,16,3/16/2022,1808,18,0,2,A
2022,17,12/14/2021,1792,2,0,2,A
2022,17,12/14/2021,10,8,7,0,H
2022,17,12/15/2021,1799,17,2,2,D
2022,17,12/15/2021,1808,110,0,1,A
2022,17,12/15/2021,1,19,2,0,H
2022,17,12/16/2021,5,7,1,1,D
2022,17,12/16/2021,9,13,3,1,H
2022,17,1/19/2022,95,18,2,3,A
2022,17,1/19/2022,1925,11,1,3,A
2022,17,2/5/2022,1796,1795,0,0,D
2022,18,12/18/2021,8,1,1,4,A
2022,18,12/19/2021,110,5,0,0,D
2022,18,12/19/2021,13,10,0,4,A
2022,18,12/19/2021,18,9,2,2,D
2022,18,1/11/2022,17,1925,4,1,H
2022,18,1/12/2022,19,1792,2,0,H
2022,18,2/15/2022,11,1808,2,0,H
2022,18,2/23/2022,1795,1799,1,4,A
2022,18,4/20/2022,7,95,1,1,D
2022,18,5/19/2022,2,1796,1,1,D
2022,19,12/26/2021,19,17,2,3,A
2022,19,12/26/2021,10,95,6,3,H
2022,19,12/26/2021,1792,1,0,5,A
2022,19,12/26/2021,18,1799,3,0,H
2022,19,12/26/2021,2,5,1,3,A
2022,19,12/26/2021,1808,1925,2,0,H
2022,19,12/27/2021,13,11,1,1,D
2022,19,2/23/2022,9,8,6,0,H
2022,19,3/10/2022,110,1795,4,0,H
2022,19,4/6/2022,1796,7,3,2,H
2022,2,8/21/2021,9,1796,2,0,H
2022,2,8/21/2021,8,7,2,2,D
2022,2,8/21/2021,2,13,2,0,H
2022,2,8/21/2021,1799,1925,0,0,D
2022,2,8/21/2021,10,1792,5,0,H
2022,2,8/21/2021,1808,1795,2,0,H
2022,2,8/22/2021,17,11,1,1,D
2022,2,8/22/2021,110,18,0,1,A
2022,2,8/22/2021,1,5,0,2,A
2022,2,8/23/2021,19,95,4,1,H
2022,20,12/28/2021,17,18,1,1,D
2022,20,12/28/2021,1799,1792,3,0,H
2022,20,12/28/2021,1795,19,1,4,A
2022,20,12/28/2021,95,9,1,0,H
2022,20,12/29/2021,5,1808,1,1,D
2022,20,12/29/2021,1925,10,0,1,A
2022,20,12/30/2021,11,1796,3,1,H
2022,20,2/24/2022,1,110,2,1,H
2022,20,3/10/2022,8,2,0,3,A
2022,20,3/17/2022,7,13,1,0,H
2022,21,1/1/2022,1,10,1,2,A
2022,21,1/1/2022,1795,18,0,1,A
2022,21,1/1/2022,1799,19,2,3,A
2022,21,1/2/2022,8,1796,3,1,H
2022,21,1/2/2022,7,1808,2,3,A
2022,21,1/2/2022,1925,2,2,1,H
2022,21,1/2/2022,5,9,2,2,D
2022,21,1/3/2022,11,110,0,1,A
2022,21,3/10/2022,17,13,1,2,A
2022,21,5/11/2022,95,1792,3,0,H
2022,22,1/14/2022,1808,1799,1,1,D
2022,22,1/15/2022,10,5,1,0,H
2022,22,1/15/2022,13,1795,1,1,D
2022,22,1/15/2022,110,17,3,1,H
2022,22,1/15/2022,1792,7,2,1,H
2022,22,1/15/2022,2,11,2,2,D
2022,22,1/16/2022,19,8,2,3,A
2022,22,1/16/2022,9,1925,3,0,H
2022,22,3/1/2022,1796,95,0,2,A
2022,22,5/12/2022,18,1,3,0,H
2022,23,1/21/2022,1795,1792,0,3,A
2022,23,1/22/2022,7,2,0,1,A
2022,23,1/22/2022,11,19,1,0,H
2022,23,1/22/2022,1925,110,1,2,A
2022,23,1/22/2022,8,13,0,1,A
2022,23,1/22/2022,17,10,1,1,D
2022,23,1/23/2022,95,1808,1,1,D
2022,23,1/23/2022,1799,9,1,3,A
2022,23,1/23/2022,1,1796,0,0,D
2022,23,1/23/2022,5,18,2,0,H
2022,24,1/18/2022,1808,5,1,1,D
2022,24,2/8/2022,13,7,3,1,H
2022,24,2/8/2022,19,1795,1,0,H
2022,24,2/8/2022,1796,11,1,1,D
2022,24,2/9/2022,18,17,2,3,A
2022,24,2/9/2022,10,1925,2,0,H
2022,24,2/9/2022,1792,1799,1,1,D
2022,24,2/9/2022,2,8,3,3,D
2022,24,2/10/2022,110,1,0,1,A
2022,24,2/10/2022,9,95,2,0,H
2022,25,2/12/2022,11,17,1,1,D
2022,25,2/12/2022,1925,1799,0,0,D
2022,25,2/12/2022,7,8,3,0,H
2022,25,2/12/2022,1795,1808,0,2,A
2022,25,2/12/2022,1792,10,0,4,A
2022,25,2/13/2022,18,110,0,2,A
2022,25,2/13/2022,1796,9,0,1,A
2022,25,2/13/2022,13,2,1,0,H
2022,25,2/13/2022,95,19,2,2,D
2022,25,4/20/2022,5,1,2,4,A
2022,26,2/19/2022,19,13,1,1,D
2022,26,2/19/2022,2,1795,0,1,A
2022,26,2/19/2022,9,1792,3,1,H
2022,26,2/19/2022,1799,5,0,1,A
2022,26,2/19/2022,1,1925,2,1,H
2022,26,2/19/2022,17,7,2,0,H
2022,26,2/19/2022,1808,1796,0,3,A
2022,26,2/19/2022,10,18,2,3,A
2022,26,2/20/2022,8,11,2,4,A
2022,26,2/20/2022,110,95,2,1,H
2022,27,2/25/2022,17,1792,2,0,H
2022,27,2/26/2022,8,18,0,4,A
2022,27,2/26/2022,1799,1796,1,1,D
2022,27,2/26/2022,1808,2,0,2,A
2022,27,2/26/2022,11,1795,0,0,D
2022,27,2/26/2022,1925,13,0,2,A
2022,27,2/26/2022,7,10,0,1,A
2022,27,2/27/2022,19,110,1,0,H
2022,27,3/16/2022,1,9,0,2,A
2022,27,5/19/2022,5,95,1,1,D
2022,28,3/5/2022,95,8,1,0,H
2022,28,3/5/2022,110,1799,0,2,A
2022,28,3/5/2022,2,17,4,0,H
2022,28,3/5/2022,13,1808,2,1,H
2022,28,3/5/2022,1792,1925,1,3,A
